name,nodes,spacing,attack,attackers,seed,mode,window,period_ms,duration,dis_threshold,tag,attackers_detected,node_TP,node_FP,node_FN,node_TN,node_TPR,node_FPR,node_precision,node_F1,dec_TP,dec_FP,dec_FN,dec_TN,dec_TPR,dec_FPR,detection_latency_sec,pdr,pdr_normal,delay_mean_s,delay_p95_s,dio_rx_per_node_min,dis_rx_per_node_min,parent_changes_per_node,blocks_temp,blocks_perm,blocked_pairs,temp_block_time_s,attacker_injections
m-40-neighbor-a30pct-w300-sliding-s1,40,20,neighbor,30%,1,sliding,300,5000,30,3,,30,1,0,11,28,0.08333333333333333,0.0,1.0,0.15384615384615385,176,0,6961,14884,0.024660221381532857,0.0,5,0.9995648389904265,0.9993718592964824,0.06293036482368308,0.12169599999998582,21.151654798574757,0.236987538487986,1.4444444444444444,339,113,191,20340,1428
m-40-neighbor-a30pct-w300-sliding-s2,40,20,neighbor,30%,2,sliding,300,5000,30,3,,39,1,0,11,28,0.08333333333333333,0.0,1.0,0.15384615384615385,1,0,7258,14884,0.00013776002204160352,0.0,5,1.0,1.0,0.06298198433420533,0.1256687999999926,21.1990819659303,0.25808153478110873,1.4444444444444444,300,101,171,18000,1428
m-40-neighbor-a30pct-w300-sliding-s3,40,20,neighbor,30%,3,sliding,300,5000,30,3,,31,1,0,11,28,0.08333333333333333,0.0,1.0,0.15384615384615385,2,0,6037,17995,0.0003311806590495115,0.0,5,1.0,1.0,0.0628513548387085,0.12369599999999537,19.458065586665757,0.2878601734096982,1.4444444444444444,320,102,186,19200,1428
m-40-neighbor-a30pct-w300-sliding-s4,40,20,neighbor,30%,4,sliding,300,5000,30,3,,35,1,2,11,26,0.08333333333333333,0.07142857142857142,0.3333333333333333,0.13333333333333333,116,2,6655,16285,0.017131885984345,0.0001227973230183582,35,1.0,1.0,0.06344843280977218,0.12369599999999537,20.264168105141156,0.3598254176704555,1.4444444444444444,312,104,179,18720,1428
m-40-neighbor-a30pct-w300-sliding-s5,40,20,neighbor,30%,5,sliding,300,5000,30,3,,5;17;24;31,4,0,8,28,0.3333333333333333,0.0,1.0,0.5,177,0,6899,14762,0.025014132278123234,0.0,5,1.0,1.0,0.06286324508519169,0.12369600000010905,20.64847763413161,0.28538563136700773,1.4444444444444444,308,103,181,18480,1428
m-40-dis-a30pct-w300-paper-s1,40,20,dis,30%,1,paper,300,5000,30,3,,6;8;9;10;14;18;22;27;30;32;33;38,12,0,0,28,1.0,0.0,1.0,1.0,351,0,0,732,1.0,0.0,225,1.0008699434536754,1.0006285355122564,0.06319025119513101,0.12469599999985803,60.31094402239219,20.6070164677732,1.4444444444444444,238,117,121,14280,1428
m-40-dis-a30pct-w300-paper-s2,40,20,dis,30%,2,paper,300,5000,30,3,,3;5;7;12;15;18;20;21;23;25;35;39,12,0,0,28,1.0,0.0,1.0,1.0,357,0,0,732,1.0,0.0,225,0.9995655951346655,1.0,0.06437103172533833,0.12764800000002197,60.65170042616973,21.029041737332847,1.4444444444444444,242,119,123,14520,1428
m-40-dis-a30pct-w300-paper-s3,40,20,dis,30%,3,paper,300,5000,30,3,,2;6;10;17;25;28;31;32;36;37;39;40,12,0,0,28,1.0,0.0,1.0,1.0,297,0,0,885,1.0,0.0,225,1.0,1.0,0.06325025087107927,0.12269599999990533,63.902881477646986,17.64461556079505,1.4444444444444444,200,99,101,12000,1428
m-40-dis-a30pct-w300-paper-s4,40,20,dis,30%,4,paper,300,5000,30,3,,2;6;7;8;11;14;17;19;21;27;32;35,12,0,0,28,1.0,0.0,1.0,1.0,333,0,0,801,1.0,0.0,225,1.0,1.0,0.06352683420593568,0.12269600000007017,60.92267276870527,19.67291557109491,1.4444444444444444,224,111,113,13440,1428
m-40-dis-a30pct-w300-paper-s5,40,20,dis,30%,5,paper,300,5000,30,3,,3;5;12;13;17;18;24;29;31;34;35;38,12,0,0,28,1.0,0.0,1.0,1.0,348,0,0,726,1.0,0.0,225,1.0004364906154517,1.0,0.0633694066317606,0.1266639999999974,59.43202896597048,20.59585857569666,1.4444444444444444,234,116,118,14040,1428
m-40-dis-a30pct-w300-sliding-s1,40,20,dis,30%,1,sliding,300,5000,30,3,,6;8;9;10;14;18;22;27;30;32;33;38,12,0,0,28,1.0,0.0,1.0,1.0,6913,0,224,14884,0.9686142636962309,0.0,15,1.0004345936549326,1.0,0.06360214769765467,0.1246960000000854,24.375802017218902,17.390666698678594,1.4444444444444444,405,167,215,24300,1428
m-40-dis-a30pct-w300-sliding-s2,40,20,dis,30%,2,sliding,300,5000,30,3,,3;5;7;12;15;18;20;21;23;25;35;39,12,0,0,28,1.0,0.0,1.0,1.0,7041,0,218,14884,0.9699683151949304,0.0,15,1.0,1.0,0.0630170687554375,0.1256959999999651,24.881500146897615,17.697196781648817,1.4444444444444444,408,174,216,24480,1428
m-40-dis-a30pct-w300-sliding-s3,40,20,dis,30%,3,sliding,300,5000,30,3,,2;6;10;17;25;28;31;32;36;37;39;40,12,0,0,28,1.0,0.0,1.0,1.0,5853,0,186,17995,0.9692001987083955,0.0,15,1.0,1.0,0.06270715257192726,0.12269600000001901,21.92348870979106,14.780130972656572,1.4444444444444444,419,167,227,25140,1428
m-40-dis-a30pct-w300-sliding-s4,40,20,dis,30%,4,sliding,300,5000,30,3,,2;6;7;8;11;14;17;19;21;27;32;35,12,0,0,28,1.0,0.0,1.0,1.0,6552,0,219,16287,0.9676561807709348,0.0,15,1.0,1.0,0.062780453752182,0.12314600000001956,22.25003217749137,16.48496723851611,1.4444444444444444,402,164,213,24120,1428
m-40-dis-a30pct-w300-sliding-s5,40,20,dis,30%,5,sliding,300,5000,30,3,,3;5;12;13;17;18;24;29;31;34;35;38,12,0,0,28,1.0,0.0,1.0,1.0,6865,0,211,14762,0.9701808931599774,0.0,15,1.00043630017452,1.0,0.06315432708242356,0.12408320000006379,24.444933736041406,17.167806937364865,1.5555555555555556,409,177,220,24540,1428
m-20-base-w300-dt2-paper-s1,20,20,baseline,0,1,paper,300,,30,2,dt2,,0,8,0,12,nan,0.4,0.0,0.0,0,18,0,1062,nan,0.016666666666666666,,1.0,1.0,0.038943070921986636,0.07369599999992715,4.592730715028002,0.09888151333317273,1.0,18,0,16,1080,0
m-20-base-w300-dt2-paper-s2,20,20,baseline,0,2,paper,300,,30,2,dt2,,0,10,0,10,nan,0.5,0.0,0.0,0,17,0,1063,nan,0.01574074074074074,,1.0,1.0,0.03739291408325806,0.07268319999998311,4.618078588967653,0.10309150380838951,1.0,17,0,16,1020,0
m-20-base-w300-dt2-paper-s3,20,20,baseline,0,3,paper,300,,30,2,dt2,,0,9,0,11,nan,0.45,0.0,0.0,0,13,0,1067,nan,0.012037037037037037,,1.0,1.0,0.037352995555555206,0.07247040000000875,4.502336639079336,0.09677919878394833,1.0,13,0,10,780,0
m-20-dis-a1-w300-dt2-paper-s1,20,20,dis,1,1,paper,300,0,30,2,dt2,6,1,0,0,19,1.0,0.0,1.0,1.0,14,0,7,603,0.6666666666666666,0.0,225,1.0,1.0,0.0375953504880199,0.0706959999999981,13.388860796487316,0.38196783164634573,1.0555555555555556,24,2,16,1440,18
m-20-dis-a1-w300-dt2-paper-s2,20,20,dis,1,2,paper,300,0,30,2,dt2,3,1,0,0,19,1.0,0.0,1.0,1.0,20,0,10,585,0.6666666666666666,0.0,225,1.0,1.0,0.03804940425531774,0.07432520000000395,13.828871984219942,0.4397168223663961,1.0555555555555556,24,0,14,1440,15
m-20-dis-a1-w300-dt2-paper-s3,20,20,dis,1,3,paper,300,0,30,2,dt2,9,1,0,0,19,1.0,0.0,1.0,1.0,34,0,17,543,0.6666666666666666,0.0,225,0.9991111111111111,1.0,0.03875904626334136,0.07669119999997455,19.867086393844,0.8305712398052377,1.0555555555555556,37,0,20,2220,19
m-20-base-w300-dt3-paper-s1,20,20,baseline,0,1,paper,300,,30,3,dt3,,0,8,0,12,nan,0.4,0.0,0.0,0,18,0,1062,nan,0.016666666666666666,,1.0,1.0,0.038943070921986636,0.07369599999992715,4.592730715028002,0.09888151333317273,1.0,18,0,16,1080,0
