timestamp,profile,state,source,in_zone,f_obs_hz,offset_m,distance_to_track_m,lat,lon
1779697362.4555113,tractorbeam,adaptive,sim,0,15.932,954.938,9.659,44.99991313211221,11.007148383224438
1779697362.5162697,tractorbeam,adaptive,sim,0,15.935,954.938,9.670,44.99991343542392,11.007180282038659
1779697362.5832925,tractorbeam,adaptive,sim,0,15.935,954.938,9.636,44.99991403868209,11.007211680803954
1779697362.646712,tractorbeam,adaptive,sim,0,15.934,954.938,9.569,44.99991504191775,11.0072428794914
1779697362.7664084,tractorbeam,adaptive,sim,0,15.845,954.938,9.457,44.99991684804618,11.00730197701573
1779697362.830161,tractorbeam,adaptive,sim,0,16.050,954.938,9.256,44.99991735088777,11.007329375928556
1779697362.8921616,tractorbeam,adaptive,sim,0,15.845,954.938,9.200,44.99991735364958,11.007355974985767
1779697362.9543962,tractorbeam,adaptive,sim,0,15.998,954.938,9.200,44.99991685631906,11.007381674171336
1779697363.0164545,tractorbeam,adaptive,sim,0,15.998,954.938,9.256,44.99991615884269,11.007405973436324
1779697363.079004,tractorbeam,adaptive,sim,0,16.069,954.938,9.333,44.99991506114786,11.00742817284125
1779697363.141273,tractorbeam,adaptive,sim,0,16.069,954.938,9.455,44.99991376324225,11.007448372323065
1779697363.204216,tractorbeam,adaptive,sim,0,16.069,954.938,9.600,44.99991226507758,11.007466071932718
1779697363.2670996,tractorbeam,adaptive,sim,0,16.069,954.938,9.767,44.99991066663048,11.007481071636073
1779697363.3293061,tractorbeam,adaptive,sim,0,16.000,954.938,9.945,44.999908867932724,11.00749367144584
1779697363.3924978,tractorbeam,adaptive,sim,0,16.044,954.938,10.145,44.99990706895007,11.007503571309766
1779697363.454603,tractorbeam,adaptive,sim,0,15.985,986.536,10.345,44.999896530483895,11.007107897266954
1779697363.5154998,tractorbeam,adaptive,sim,0,16.044,986.536,11.518,44.99989443097269,11.007112597318644
1779697363.5782967,tractorbeam,adaptive,sim,0,16.044,986.536,11.752,44.99989233120365,11.007114897455601
1779697363.6422703,tractorbeam,adaptive,sim,0,16.044,986.536,11.986,44.999890031182254,11.007114897660042
1779697363.705716,tractorbeam,adaptive,sim,0,15.985,986.536,12.242,44.99988803101006,11.007113497857752
1779697363.7681963,tractorbeam,adaptive,sim,0,15.985,986.536,12.464,44.999886130739974,11.007111198058665
1779697363.8326924,tractorbeam,adaptive,sim,0,15.941,986.536,12.676,44.99988443042574,11.00710849822754
1779697363.892307,tractorbeam,adaptive,sim,0,15.985,986.536,12.865,44.99988303005814,11.007105298364964
1779697363.9544327,tractorbeam,adaptive,sim,0,15.985,986.536,13.021,44.99988202968888,11.007102098416336
1779697364.0177,tractorbeam,adaptive,sim,0,15.941,986.536,13.132,44.99988122928791,11.007098498551812
1779697364.0820928,tractorbeam,adaptive,sim,0,15.917,986.536,13.221,44.99988092915967,11.007097398549774
1779697364.1450553,tractorbeam,adaptive,sim,0,15.917,986.536,13.255,44.999881029209675,11.007097998376283
1779697364.2049198,tractorbeam,adaptive,sim,0,15.900,986.536,13.244,44.99988102918431,11.007097898243527
1779697364.2659671,tractorbeam,adaptive,sim,0,15.900,986.536,13.244,44.99988102916768,11.00709789808867
1779697364.329279,tractorbeam,adaptive,sim,0,15.889,986.536,13.244,44.999881029151084,11.00709789793381
1779697364.392687,tractorbeam,adaptive,sim,0,15.871,986.536,13.244,44.99988102913239,11.007097897759596
1779697364.4558794,tractorbeam,adaptive,sim,0,15.871,986.536,13.244,44.999881029113695,11.007097897585378
